sku,alchool,alt_image,animal,area,australian_like,awards,blended_grapes,bottleml,box_size,cellar_practice,country_of_manufacture,cost,custom_block,custom_label,filtration,florealnew,fruit,international_awards,is_featured,kind,kind_byo_organic,main_grape,manufacturer,method,mineral,myob_btb,myob_btc_h,oak1,pairing,price,product_name,region,second_fermentation,sparkling_residual_sugar,spontaneous_fermentation1,skin_contact,sku_short,spice,stripe_sub_enabled,sw_featured,tastingnotes,vegetal,vineyard_management,Vntg,wild_ferment,wine_producer
AOBAR16,"bottleml=750,box_size=6,cellar_practice=Conventional,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Nebbiolo,manufacturer=Andrea Oberto,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Piemonte,skin_contact=No,sku_short=AOBAR,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Sustainable,Vntg=2016,wine_producer=Andrea Oberto",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEDSBI18,"area=Colli Orientali del Friuli,blended_grapes=Ribolla Gialla,bottleml=750,box_size=6,cellar_practice=Barrel aged|Barrel fermented|Minimum S02|Skin contact|Unfiltered|Wild ferment,filtration=Yes,fruit=5,kind_byo_organic=Organic Wine,main_grape=Tocai,manufacturer=Le Due Terre,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Friuli,skin_contact=No,sku_short=LEDSBI,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2018,wine_producer=Le Due Terre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIOBAL15,"area=Offida Ascoli,bottleml=750,box_size=6,cellar_practice=Barrel aged|Barrel fermented|Minimum S02|Unfiltered|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Organic Wine,main_grape=Montepulciano,manufacturer=Fiorano,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Marche,skin_contact=No,sku_short=FIOBAL,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2015,wine_producer=Fiorano",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBFR19,"alt_image=/a/m/ambfr19_casa_dambra_frassitelli.jpg,area=Ischia,bottleml=750,box_size=6,cellar_practice=Conventional|Unwooded,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Biancolella,manufacturer=Casa D'Ambra,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Campania,skin_contact=No,sku_short=AMBFR,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Sustainable,Vntg=2019,wine_producer=Casa D'Ambra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMBAR18,"alt_image=/g/i/giovanni_montisci_barrosu_gmbar18.jpg,area=Mamoiada,bottleml=750,box_size=6,cellar_practice=Barrel aged|Barrel fermented|Minimum S02|Unfiltered|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Organic Wine,main_grape=Cannonau,manufacturer=Giovanni Montisci,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Sardegna,skin_contact=No,sku_short=GMBAR,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2018,wine_producer=Giovanni Montisci",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRAIND19,"alt_image=/p/o/podere_pradarolo_indocilis_praind19.jpg,bottleml=750,box_size=6,cellar_practice=No added S02,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Barbera,manufacturer=Podere Pradarolo,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Emilia-Romagna,second_fermentation=Undisgorged (Metodo Ancestrale),skin_contact=No,sku_short=PRAIND,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2019,wine_producer=Podere Pradarolo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALSAU19,"bottleml=750,box_size=12,cellar_practice=Conventional,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Sauvignon,manufacturer=Balter,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Trentino,skin_contact=No,sku_short=BALSAU,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Sustainable,Vntg=2019,wine_producer=Balter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAJCHI19,"alt_image=/m/a/majoni_guicciardini_chianti__1.png,area=Val D'Elsa,blended_grapes=Malvasia Nera|Pugnitello,bottleml=700,box_size=12,cellar_practice=Concrete|Minimum S02|Unfiltered|Unwooded|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Organic Wine,main_grape=Sangiovese,manufacturer=Majnoni Guicciardini,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Toscana,skin_contact=No,sku_short=MAJCHI,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2019,wine_producer=Majnoni Guicciardini",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLTIM18-6,"alt_image=/c/o/colpim18-6_la_colombera_timorasso.jpg,bottleml=750,box_size=6,cellar_practice=Conventional,filtration=No,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Timorasso,manufacturer=La Colombera,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Piemonte,skin_contact=No,sku_short=COLTIM,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Sustainable,Vntg=2018,wine_producer=La Colombera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VENPEN14,"area=Cellatica,bottleml=750,box_size=6,cellar_practice=Barrel fermented|Minimum S02,filtration=No,fruit=5,kind_byo_organic=Biodynamic Wine,main_grape=Chardonnay,manufacturer=Ca' Del Vent,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Lombardia ,second_fermentation=Bottle (Metodo Classico)|46 months on lees,skin_contact=No,sku_short=VENPEN,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Biodynamic,Vntg=2014,wine_producer=Ca' Del Vent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEDNOS18,"area=Valle dei Laghi,bottleml=750,box_size=12,cellar_practice=Minimum S02|Skin contact|Unfiltered|Unwooded|Wild ferment,filtration=Yes,fruit=5,kind_byo_organic=Organic Wine,main_grape=Nosiola,manufacturer=Gino Pedrotti,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Trentino,skin_contact=No,sku_short=PEDNOS,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2018,wine_producer=Gino Pedrotti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBLOC19,"alt_image=/v/e/venturini_baldini_montelocco_vbloc19.jpg,bottleml=750,box_size=12,cellar_practice=Conventional,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Salamino,manufacturer=Venturini Baldini,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Emilia-Romagna,second_fermentation=Tank (Metodo Martinotti),skin_contact=No,sku_short=VBLOC,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2019,wine_producer=Venturini Baldini",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIOFLU19,"area=Offida Ascoli,bottleml=750,box_size=12,cellar_practice=Barrel aged|Barrel fermented|Minimum S02|Unfiltered|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Organic Wine,main_grape=Montepulciano,manufacturer=Fiorano,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Marche,skin_contact=No,sku_short=FIOFLU,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2019,wine_producer=Fiorano",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISNER20,"bottleml=750,box_size=6,cellar_practice=Conventional,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Montepulciano and ""visciole"" - Prunus cerasus ,manufacturer=Corrado Tonelli,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Marche,skin_contact=No,sku_short=VISNER,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Sustainable,Vntg=2020,wine_producer=Corrado Tonelli",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPECO20,"area=Loreto Aprutino Pescara,bottleml=750,box_size=6,cellar_practice=Barrel aged|Barrel fermented|Minimum S02|Unfiltered|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Biodynamic Wine,main_grape=Pecorino,manufacturer=De Fermo,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Abruzzo,skin_contact=No,sku_short=DEPECO,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Biodynamic,Vntg=2020,wine_producer=De Fermo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDANZC19,"area=Parteolla,bottleml=750,box_size=12,cellar_practice=Conventional|Unwooded,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Cannonau,manufacturer=Cantine di Dolianova,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Sardegna,skin_contact=No,sku_short=CDANZC,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Sustainable,Vntg=2019,wine_producer=Cantine di Dolianova",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APBARR16,"area=Sulcis,blended_grapes=Cabernet Sauvignon|Merlot,bottleml=750,box_size=6,cellar_practice=Barrel aged|Barrel fermented|Conventional|Minimum S02|Unfiltered|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Carignano,manufacturer=Agricola Punica,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Sardegna,skin_contact=No,sku_short=APBARR,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Sustainable,Vntg=2016,wine_producer=Agricola Punica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMFRA18,"area=Mamoiada,bottleml=750,box_size=6,cellar_practice=Barrel aged|Barrel fermented|Minimum S02|Unfiltered|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Organic Wine,main_grape=Cannonau,manufacturer=Giovanni Montisci,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Sardegna,skin_contact=No,sku_short=GMFRA,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2018,wine_producer=Giovanni Montisci",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSLGINMAG19,"animal=1,area=Castelli di Jesi,bottleml=1500,box_size=6,cellar_practice=Concrete|Minimum S02|Wild ferment,cost=5.700000,filtration=Yes,florealnew=2,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Verdicchio,manufacturer=Fattoria San Lorenzo,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Marche,skin_contact=No,sku_short=FSLGINMAG,spice=1,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vegetal=2,vineyard_management=Biodynamic,Vntg=2019,wine_producer=Fattoria San Lorenzo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTGUT19,"area=Colli Piacentini,blended_grapes=Bonarda,bottleml=750,box_size=12,cellar_practice=No added S02|Unfiltered|Unwooded|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Organic Wine,main_grape=Barbera,manufacturer=La Tosa,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Emilia-Romagna,skin_contact=No,sku_short=LTGUT,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2019,wine_producer=La Tosa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANGAT12,"bottleml=750,box_size=6,cellar_practice=Barrel aged|Conventional,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Nebbiolo,manufacturer=Cantina Gattinara,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Piemonte,skin_contact=No,sku_short=CANGAT,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Sustainable,Vntg=2012,wine_producer=Cantina Gattinara",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIOGIU19,"bottleml=700,box_size=6,cellar_practice=Minimum S02,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Pecorino,manufacturer=Fiorano,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Marche,skin_contact=No,sku_short=FIOGIU,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2019,wine_producer=Fiorano",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORBLAN19,"bottleml=750,box_size=12,cellar_practice=Conventional,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Prie' Blanc,manufacturer=Cave Mont Blanc,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Valle D'Aosta,skin_contact=No,sku_short=MORBLAN,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Sustainable,Vntg=2019,wine_producer=Cave Mont Blanc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBDOL19,"bottleml=750,box_size=12,cellar_practice=Conventional|Unwooded,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Dolcetto,manufacturer=Anna Maria Abbona,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Piemonte,skin_contact=No,sku_short=ABBDOL,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Sustainable,Vntg=2019,wine_producer=Anna Maria Abbona",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBBCF16,"bottleml=750,box_size=6,cellar_practice=Barrel aged|Barrel fermented|Conventional|Minimum S02|Unfiltered|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Nebbiolo,manufacturer=Anna Maria Abbona,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Piemonte,skin_contact=No,sku_short=ABBBC,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Sustainable,Vntg=2016,wine_producer=Anna Maria Abbona",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBBSP16,"bottleml=750,box_size=6,cellar_practice=Barrel aged|Barrel fermented|Conventional|Minimum S02|Unfiltered|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Nebbiolo,manufacturer=Anna Maria Abbona,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Piemonte,skin_contact=No,sku_short=ABBBSP,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Sustainable,Vntg=2016,wine_producer=Anna Maria Abbona",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEDCHA18,"area=Valle dei Laghi,bottleml=750,box_size=12,cellar_practice=Minimum S02|Wild ferment,filtration=Yes,fruit=5,kind_byo_organic=Organic Wine,main_grape=Chardonnay,manufacturer=Gino Pedrotti,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Trentino,skin_contact=No,sku_short=PEDCHA,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2018,wine_producer=Gino Pedrotti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRAVEJ19,"alt_image=/p/o/podere_pradarolo_vej_pravej19.png,area=Parma,bottleml=750,box_size=12,cellar_practice=No added S02|Skin contact|Unfiltered|Wild ferment,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Malvasia di Candia Aromatica,manufacturer=Podere Pradarolo,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Emilia-Romagna,skin_contact=No,sku_short=PRAVEJ,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2019,wine_producer=Podere Pradarolo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POSNOB18,"alt_image=/p/o/poderi_sanguineto_nobile_di_montepulciano_posnob18.jpg,area=Montepulciano Siena,blended_grapes=Canaiolo Nero|Mammolo,bottleml=750,box_size=12,cellar_practice=Barrel aged|Minimum S02|Unfiltered|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Organic Wine,main_grape=Sangiovese,manufacturer=Poderi Sanguineto,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Toscana,skin_contact=No,sku_short=POSNOB,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2018,wine_producer=Poderi Sanguineto",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FONFAL19,"area=Taburnio Sannio,bottleml=750,box_size=12,cellar_practice=Minimum S02|Unwooded,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Falanghina,manufacturer=Fontanavecchia,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Campania,skin_contact=No,sku_short=FONFAL,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Sustainable,Vntg=2019,wine_producer=Fontanavecchia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAGRIL19,"alt_image=/v/a/valdibella_grillo_valgril19.png,area=Camporeale Palermo,bottleml=750,box_size=12,cellar_practice=Minimum S02|Unfiltered|Unwooded|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Organic Wine,main_grape=Grillo,manufacturer=Valdibella,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Sicilia,skin_contact=No,sku_short=VAGRIL,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2019,wine_producer=Valdibella",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VALMUR20,"alt_image=/v/a/valdibella_munir_valmur19.png,area=Camporeale Palermo,bottleml=750,box_size=12,cellar_practice=Minimum S02|Unfiltered|Unwooded|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Organic Wine,main_grape=Catarratto,manufacturer=Valdibella,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Sicilia,skin_contact=No,sku_short=VALMUR,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2020,wine_producer=Valdibella",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDMOSC15,"area=Parteolla,bottleml=500,box_size=6,cellar_practice=Conventional|Unwooded,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Moscato,manufacturer=Cantine di Dolianova,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Sardegna,skin_contact=No,sku_short=CDMOSC,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Sustainable,Vntg=2015,wine_producer=Cantine di Dolianova",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDMONT18,"area=Parteolla,bottleml=750,box_size=6,cellar_practice=Barrel aged|Conventional,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Nasco,manufacturer=Cantine di Dolianova,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Sardegna,skin_contact=No,sku_short=CDMONT,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Sustainable,Vntg=2018,wine_producer=Cantine di Dolianova",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMVIL15,"alt_image=/m/a/marchese_di_villamarina_edited-pixlr_.png,area=Alghero,bottleml=750,box_size=6,cellar_practice=Barrel aged|Barrel fermented|Conventional|Unfiltered|Wild ferment,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Cabernet Sauvignon,manufacturer=Sella & Mosca,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Sardegna,skin_contact=No,sku_short=SMVIL,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Sustainable,Vntg=2015,wine_producer=Sella & Mosca",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBMAN19,"alt_image=/v/e/venturini_baldini_marchese_manodori_vbman19_1.png,area=Reggio Emilia,blended_grapes=Grasparossa|Maestri|Salamino,bottleml=750,box_size=12,cellar_practice=Conventional,filtration=Yes,fruit=5,kind_byo_organic=Organic Wine,main_grape=Marani,manufacturer=Venturini Baldini,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Emilia-Romagna,second_fermentation=Tank (Metodo Martinotti),skin_contact=No,sku_short=VBMAN,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2019,wine_producer=Venturini Baldini",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATANS18,"area=Cirò Marina,bottleml=750,box_size=12,cellar_practice=Minimum S02|Unfiltered|Unwooded|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Organic Wine,main_grape=Ansonica,manufacturer=Cataldo Calabretta,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Calabria,skin_contact=No,sku_short=CATANS,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2018,wine_producer=Cataldo Calabretta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATROS16,"area=Cirò Marina,bottleml=750,box_size=12,cellar_practice=Concrete|Minimum S02|Unfiltered|Unwooded|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Organic Wine,main_grape=Alicante,manufacturer=Cataldo Calabretta,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Calabria,skin_contact=No,sku_short=CATROS,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2016,wine_producer=Cataldo Calabretta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATRED15,"area=Cirò Marina,bottleml=750,box_size=12,cellar_practice=Concrete|Minimum S02|Unfiltered|Unwooded|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Organic Wine,main_grape=Ciro' Rosso,manufacturer=Cataldo Calabretta,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Calabria,skin_contact=No,sku_short=CATRED,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2015,wine_producer=Cataldo Calabretta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATALI19,"area=Cirò Marina,bottleml=750,box_size=12,cellar_practice=Minimum S02|Unfiltered|Unwooded|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Organic Wine,main_grape=Alicante,manufacturer=Cataldo Calabretta,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Calabria,skin_contact=No,sku_short=CATALI,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2019,wine_producer=Cataldo Calabretta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANAGL17,"alt_image=/c/a/canagl17_il_cancelliere_aglianico.jpg,area=Taburnio Sannio,bottleml=750,box_size=12,cellar_practice=Minimum S02|Unfiltered|Unwooded|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Organic Wine,main_grape=Aglianico,manufacturer=Il Cancelliere,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Campania,skin_contact=No,sku_short=CANAGL,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2017,wine_producer=Il Cancelliere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORXT16,"bottleml=750,box_size=6,cellar_practice=Minimum S02,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Prie' Blanc,manufacturer=Cave Mont Blanc,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Valle D'Aosta,second_fermentation=Bottle (Metodo Classico)|17 months on lees,skin_contact=No,sku_short=MORXT,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Sustainable,Vntg=2016,wine_producer=Cave Mont Blanc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANBRUT18,"alt_image=/s/a/santus_franciacorta_brut_sanbrut18.jpg,area=Franciacorta,blended_grapes=Pinot Nero,bottleml=750,box_size=6,cellar_practice=Conventional,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Chardonnay,manufacturer=Santus,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Lombardia ,second_fermentation=Bottle (Metodo Classico)|24 months on lees,skin_contact=No,sku_short=SANBRUT,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=Yes,vineyard_management=Organic,Vntg=2018,wine_producer=Santus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
